customer_id,first_name,last_name,email,phone,date_of_birth,driving_license,license_issue_date,license_expiry_date,address,city,registration_date,loyalty_level,created_at,updated_at
1,Anna,Novikov,customer1@example.com,375296501696,1955-07-22,AB2600296,2012-03-16,2027-04-01,"Street 34, Apt 99",Borisov,2023-05-11,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
2,Olga,Semenov,customer2@example.com,375291191859,1966-11-12,AB4964499,2010-11-04,2028-05-06,"Street 52, Apt 176",Rechitsa,2022-12-04,Gold,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
3,Mikhail,Morozov,customer3@example.com,375294705235,1964-03-16,AB3570027,2017-12-20,2027-07-23,"Street 71, Apt 121",Polotsk,2021-04-22,Bronze,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
4,Elena,Kozlov,customer4@example.com,375299861274,1995-06-03,AB2882551,2010-09-17,2026-10-18,"Street 20, Apt 43",Molodechno,2024-08-04,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
5,Tatiana,Morozov,customer5@example.com,375299201172,1955-09-15,AB1933413,2017-03-17,2028-08-19,"Street 8, Apt 144",Zhlobin,2022-12-01,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
6,Andrey,Ivanov,customer6@example.com,375294655777,1987-02-02,AB8108462,2015-12-03,2029-01-03,"Street 61, Apt 9",Orsha,2023-03-25,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
7,Natalia,Semenov,customer7@example.com,375298052503,1973-07-15,AB7333337,2016-02-22,2030-09-05,"Street 84, Apt 90",Vitebsk,2021-09-13,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
8,Tatiana,Smirnov,customer8@example.com,375291058272,1998-01-10,AB8767916,2020-12-18,2028-09-13,"Street 30, Apt 64",Zhlobin,2022-03-09,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
9,Tatiana,Petrov,customer9@example.com,375291540516,2001-11-14,AB1262492,2013-04-03,2025-10-02,"Street 58, Apt 154",Gomel,2021-12-02,Platinum,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
10,Maria,Smirnov,customer10@example.com,375294645172,1998-01-05,AB9453969,2014-04-27,2030-10-11,"Street 74, Apt 154",Molodechno,2021-05-05,Silver,2026-02-07 13:31:35.611710,2026-02-07 13:31:35.611710
