employee_id,first_name,last_name,email,phone,position,hire_date,salary,location_id,is_active,created_at,updated_at
1,Natalia,Novikov,employee1@rental.by,375295164866,Support Agent,2022-06-26,1150.43,2,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
2,Maria,Petrov,employee2@rental.by,375299920158,Manager,2020-12-03,2470.73,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
3,Tatiana,Kuznetsov,employee3@rental.by,375296044294,Rental Agent,2024-09-28,1593.66,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
4,Alexander,Pavlov,employee4@rental.by,375293412113,Car Inspector,2022-12-23,1303.22,9,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
5,Sergey,Volkov,employee5@rental.by,375297139697,Car Inspector,2024-06-02,1363.59,8,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
6,Tatiana,Ivanov,employee6@rental.by,375295931230,Rental Agent,2020-07-05,1596.0,6,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
7,Dmitry,Popov,employee7@rental.by,375298638507,Manager,2019-03-07,2506.22,14,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
8,Elena,Popov,employee8@rental.by,375292328704,Manager,2022-08-05,2192.66,10,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
9,Anna,Sidorov,employee9@rental.by,375293455523,Car Inspector,2022-03-04,1743.22,2,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
10,Andrey,Novikov,employee10@rental.by,375291751730,Manager,2021-12-06,2063.29,7,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
11,Alexander,Kuznetsov,employee11@rental.by,375293223927,Support Agent,2019-02-28,1403.22,4,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
12,Andrey,Volkov,employee12@rental.by,375292634325,Manager,2024-10-03,2234.88,14,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
13,Olga,Volkov,employee13@rental.by,375296223163,Rental Agent,2024-11-22,1595.78,9,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
14,Ivan,Smirnov,employee14@rental.by,375294625807,Manager,2023-10-08,2002.08,11,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
15,Elena,Kozlov,employee15@rental.by,375296590270,Rental Agent,2020-04-08,1442.92,2,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
16,Olga,Ivanov,employee16@rental.by,375292287493,Rental Agent,2023-09-22,1507.57,14,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
17,Natalia,Volkov,employee17@rental.by,375296446013,Support Agent,2021-09-03,1425.45,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
18,Olga,Smirnov,employee18@rental.by,375299734488,Support Agent,2021-12-24,1288.52,15,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
19,Anna,Petrov,employee19@rental.by,375296532622,Car Inspector,2019-02-25,1405.27,3,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
20,Mikhail,Popov,employee20@rental.by,375296567281,Support Agent,2023-08-18,1050.83,4,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
21,Dmitry,Novikov,employee21@rental.by,375291113547,Support Agent,2021-07-12,1411.63,12,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
22,Tatiana,Morozov,employee22@rental.by,375298901989,Support Agent,2020-09-09,1076.51,2,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
23,Mikhail,Sidorov,employee23@rental.by,375291916026,Rental Agent,2022-08-18,1548.03,8,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
24,Alexander,Kozlov,employee24@rental.by,375299902256,Rental Agent,2023-10-12,1794.37,14,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
25,Ivan,Novikov,employee25@rental.by,375292265272,Rental Agent,2021-11-26,1648.73,15,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
26,Mikhail,Novikov,employee26@rental.by,375297253416,Manager,2019-12-15,2399.13,3,True,2026-02-07 13:31:35.646385,2026-02-07 13:31:35.646385
